station,latitude [degree],longitude [degree],height of station ground above mean sea level [m]
4119,65.38,-22.48,299
4120,63.50,-22.26,4
4124,64.03,-22.20,5
4126,64.21,-21.47,5
4130,64.08,-21.54,53
4131,65.59,-21.21,32
4140,63.51,-21.23,5
4149,65.14,-19.43,505
4154,64.07,-19.45,249
4160,64.35,-18.36,614
4161,65.58,-18.32,4
4162,64.24,-18.30,648
4165,66.32,-18.01,17
4166,64.19,-18.13,727
4168,64.56,-17.59,821
4170,63.31,-17.59,9
4180,64.14,-15.12,5
4183,66.23,-14.32,44
4193,65.13,-14.16,949
4196,64.48,-13.51,34
4197,65.16,-13.35,11
4203,76.38,-73.00,15
4205,77.29,-69.23,17
4208,74.02,-57.49,40
4211,72.47,-56.08,130
4213,70.44,-52.42,89
4214,70.41,-54.37,28
4217,68.49,-51.10,13
4219,69.15,-53.32,2
4220,68.42,-52.51,41
4221,69.14,-51.04,34
4224,68.43,-52.47,27
4228,67.47,-53.58,12
4231,67.01,-50.43,53
4234,66.57,-53.44,8
4241,65.25,-52.56,32
4242,65.01,-52.33,14
4250,64.10,-51.45,84
4253,62.35,-50.24,22
4254,64.12,-51.41,87
4260,62.01,-49.40,36
4266,60.46,-48.27,33
4270,61.10,-45.25,31
4272,60.43,-46.03,57
4273,60.43,-46.02,21
4280,60.55,-46.04,6
4282,60.28,-45.35,8
4283,60.08,-45.14,5
4285,59.59,-45.09,16
4301,83.39,-33.22,4
4312,81.36,-16.39,36
4313,80.39,-13.43,10
4320,76.46,-18.40,12
4330,74.18,-20.13,15
4339,70.29,-21.57,71
4341,70.45,-22.39,12
4351,67.47,-32.18,14
4360,65.37,-37.38,56
4361,65.34,-37.08,37
4373,64.47,-40.18,80
4382,61.56,-42.04,42
4390,60.03,-43.10,75
4416,72.35,-38.27,3207
4418,72.35,-38.30,3199
4425,78.01,-33.59,2010
4432,78.32,-56.50,1994
4436,77.30,-50.52,2450
4452,69.30,-49.42,905
4458,69.34,-49.20,1093
4464,66.29,-46.17,2099
4485,66.00,-44.30,2467
4488,66.28,-42.30,2407
6005,62.06,-7.41,100
6008,61.33,-6.46,17
6009,61.24,-6.41,102
6010,62.04,-7.17,88
6011,62.01,-6.46,56
6012,62.19,-6.19,56
