location,latitude [degree],longitude [degree],height of station ground above mean sea level [m]
60590,30.34,2.52,403
60602,30.08,-2.10,505
60607,29.15,0.17,317
60611,28.03,9.38,562
60620,27.49,-0.11,283
60630,27.14,2.30,269
60640,26.30,8.25,541
60656,27.42,-8.10,449
60670,24.16,9.28,970
60680,22.48,5.26,1377
60710,36.57,8.45,21
60714,37.15,9.48,3
60715,36.50,10.14,4
60720,36.51,11.05,30
60725,36.29,8.48,144
60735,35.40,10.06,68
60738,35.33,8.41,1092
60740,35.40,10.45,3
60745,34.25,8.49,314
60750,34.43,10.41,23
60760,33.55,8.10,86
60769,33.52,10.46,4
60775,32.19,10.24,301
60780,31.41,9.18,259
61017,18.41,12.55,357
61024,16.58,7.59,502
61043,14.54,5.15,391
61052,13.29,2.10,227
61075,13.48,5.15,273
61080,13.28,7.05,373
61085,13.25,12.47,305
61090,13.47,8.59,453
61202,20.12,0.59,491
61214,18.26,1.21,459
61223,16.43,-3.00,264
61226,16.16,-0.03,260
61233,15.10,-7.17,265
61257,14.26,-11.26,47
61265,14.31,-4.06,272
61272,13.24,-6.09,289
61291,12.32,-7.57,381
61401,25.14,-11.37,360
61404,22.45,-12.29,343
61415,20.55,-17.02,3
61421,20.31,-13.04,224
61442,18.18,-15.59,8
61497,16.36,-7.16,269
61498,16.38,-11.24,115
61600,16.03,-16.27,2
61641,14.44,-17.30,24
61687,13.46,-13.41,49
61695,12.33,-16.16,19
61731,13.19,-14.13,4
61856,8.37,-13.12,27
61891,7.59,-10.51,186
61901,-15.57,-5.40,436
61902,-7.58,-14.24,79
61931,0.23,6.43,13
61967,-7.18,72.24,3
61968,-11.35,47.17,4
61970,-17.03,42.43,10
61972,-22.21,40.20,6
61974,-10.23,56.36,4
61976,-15.53,54.31,13
61980,-20.54,55.32,13
61986,-16.27,59.37,4
61988,-19.41,63.25,62
61995,-20.18,57.30,425
61996,-37.48,77.34,29
61998,-49.21,70.15,30
62010,32.44,13.05,64
62019,31.12,16.34,13
62053,32.06,20.16,132
62103,30.07,9.29,347
62124,27.01,14.27,432
62305,31.34,25.08,6
62306,31.20,27.13,30
62318,31.11,29.57,7
62337,31.04,33.50,32
62378,29.52,31.21,141
62387,28.05,30.44,41
62403,26.12,32.45,77
62414,23.58,32.49,194
62417,29.12,25.29,-13
62420,28.20,28.54,130
62423,27.03,27.59,92
62432,25.30,28.58,111
62435,25.28,30.33,73
62459,28.13,33.39,14
62463,27.11,33.48,14
62600,21.49,31.21,190
62640,19.32,33.19,312
62641,19.35,37.13,42
62650,19.10,30.29,226
62721,15.36,32.33,380
62730,15.28,36.24,500
62760,13.37,25.20,730
62771,13.10,30.14,574
62805,11.47,34.23,470
62840,9.33,31.39,388
62880,7.42,28.01,438
62941,4.52,31.36,457
63021,15.17,38.55,2325
63125,11.33,43.09,19
63260,2.02,45.21,9
63403,8.09,35.32,2002
63450,9.02,38.45,2354
63533,5.20,39.34,1544
63612,3.07,35.35,506
63619,3.36,39.03,1113
63624,3.56,41.51,331
63641,2.20,37.59,1345
63661,1.01,35.01,561
63671,1.44,40.05,244
63686,0.30,35.18,646
63695,0.03,37.39,1524
63705,0.03,32.27,1155
63708,-0.05,34.44,1149
63710,-0.22,35.16,1976
63714,-0.16,36.06,1901
63717,-0.27,36.59,1798
63720,-0.30,37.28,1494
63723,-0.29,39.39,128
63729,-1.20,31.49,1137
63733,-1.30,33.48,1147
63737,-1.05,35.52,1585
63741,-1.18,36.46,1798
63756,-2.28,32.55,1140
63766,-2.17,37.49,1000
63791,-3.25,37.03,896
63793,-3.24,38.33,560
63799,-3.14,40.06,20
63801,-4.53,29.40,885
63816,-4.05,37.43,872
63820,-4.01,39.36,5
63832,-5.05,32.50,1190
63844,-5.05,39.04,35
63862,-6.10,35.46,1120
63866,-6.50,37.39,526
